classsize,enrollment,pct_disadv,readsize,mathsize,avgread,avgmath,schltype,schlcode
28,54,24,28,28,70.56999969482422,74.11000061035156,1,11005
26,54,24,27,27,75,71.11000061035156,1,11005
22,37,38,15,15,75.470001220703125,64,2,11006
15,37,38,20,20,60.647499084472656,50,2,11006
32,32,6,32,32,73.970001220703125,68.37999725341797,1,11009
34,68,3,22,22,69.55000305175781,59.86000061035156,1,11010
34,68,3,30,31,68.12999725341797,61.900001525878906,1,11010
30,86,8,30,30,65.56999969482422,61.099998474121094,1,11013
26,86,8,24,24,69.91999816894531,59.41999816894531,1,11013
31,86,8,29,27,73.13999938964844,66.37000274658203,1,11013
32,95,6,29,30,79.660003662109375,76.56999969482422,1,11015
32,95,6,31,31,75.94000244140625,71.29000091552734,1,11015
31,95,6,27,27,84.88999938964844,81.04000091552734,1,11015
39,77,9,35,37,70.37000274658203,65.779998779296875,1,11017
38,77,9,31,30,71.71128845214844,68.504669189453125,1,11017
31,97,5,26,30,78.30999755859375,71.30000305175781,1,11020
33,97,5,30,34,78.0999984741211,77.26000213623047,1,11020
33,97,5,29,33,77.20999908447266,73.30000305175781,1,11020
30,58,11,28,28,72.63999938964844,57.86000061035156,1,11021
28,58,11,28,28,67.70999908447266,56.540000915527344,1,11021
34,97,5,32,33,81.029998779296875,71.089996337890625,1,11027
29,97,5,29,29,73.37999725341797,65.20999908447266,1,11027
34,97,5,31,33,73.25871276855469,64.4830322265625,1,11027
34,70,11,31,31,65.19000244140625,56.22999954223633,1,11029
36,70,11,34,34,74.385589599609375,57.70206069946289,1,11029
23,42,12,21,22,74.56999969482422,67.089996337890625,1,11031
19,42,12,17,17,69.05999755859375,64.410003662109375,1,11031
32,95,13,27,31,61.06999969482422,49.52000045776367,1,11032
31,95,13,30,30,68.970001220703125,59.5,1,11032
29,95,13,26,28,62.619998931884766,60.290000915527344,1,11032
28,56,11,27,28,70.589996337890625,64.75,1,11034
28,56,11,27,27,71.410003662109375,67.296295166015625,1,11034
17,11,50,12,12,69.25,55.58000183105469,2,11044
38,76,9,34,33,74.8499984741211,68.58000183105469,2,11045
38,76,9,36,36,75.14167022705078,67.46833038330078,2,11045
38,74,11,36,37,82.029998779296875,67.76000213623047,2,11048
36,74,11,34,34,75.6500015258789,75.3499984741211,2,11048
35,35,17,29,31,68,63,2,11054
